ue_id,imsi,class,nominal_rate_bps,actual_rate_bps,rate_sigma,nominal_packet_size,actual_packet_size,start_offset_s,noise_model
0,1,mMTC,3000,2474.11,0.25,100,186,3.77884,lognormal_rate_jitter_v1
1,2,mMTC,3000,3576.34,0.25,100,73,15.6551,lognormal_rate_jitter_v1
2,3,mMTC,3000,3801.73,0.25,100,64,25.11,lognormal_rate_jitter_v1
3,4,mMTC,3000,3926.44,0.25,100,98,5.88826,lognormal_rate_jitter_v1
4,5,mMTC,3000,3457.23,0.25,100,180,19.6524,lognormal_rate_jitter_v1
5,6,mMTC,3000,4476.73,0.25,100,172,3.46873,lognormal_rate_jitter_v1
6,7,mMTC,3000,2347.13,0.25,100,212,27.4191,lognormal_rate_jitter_v1
7,8,mMTC,3000,3702.06,0.25,100,83,13.8846,lognormal_rate_jitter_v1
8,9,mMTC,3000,3119.4,0.25,100,163,19.2645,lognormal_rate_jitter_v1
9,10,mMTC,3000,2967.67,0.25,100,167,20.9468,lognormal_rate_jitter_v1
10,11,Web,133000,101272,0.4,600,869,2.60579,lognormal_rate_jitter_v1
11,12,Web,133000,69477.6,0.4,600,664,8.06157,lognormal_rate_jitter_v1
12,13,Web,133000,271613,0.4,600,943,6.5587,lognormal_rate_jitter_v1
13,14,Web,133000,121116,0.4,600,798,1.06589,lognormal_rate_jitter_v1
14,15,Mobile,166000,90749.2,0.35,800,1359,13.4286,lognormal_rate_jitter_v1
15,16,Mobile,166000,216712,0.35,800,1157,6.12723,lognormal_rate_jitter_v1
16,17,Mobile,166000,333135,0.35,800,545,9.40629,lognormal_rate_jitter_v1
17,18,Mobile,166000,152959,0.35,800,1177,1.31528,lognormal_rate_jitter_v1
18,19,VoD,725000,734523,0.05,1200,1200,5.33198,lognormal_rate_jitter_v1
19,20,VoD,725000,702019,0.05,1200,1200,0.55639,lognormal_rate_jitter_v1
20,21,VoD,725000,722453,0.05,1200,1200,6.06304,lognormal_rate_jitter_v1
21,22,Live,478000,492594,0.1,1200,1200,3.14281,lognormal_rate_jitter_v1
22,23,Live,478000,552942,0.1,1200,1200,4.68648,lognormal_rate_jitter_v1
23,24,Live,478000,518962,0.1,1200,1200,7.1027,lognormal_rate_jitter_v1
24,25,V2X,99000,106085,0.08,300,487,0.161219,lognormal_rate_jitter_v1
