ue_id,imsi,class,nominal_rate_bps,actual_rate_bps,rate_sigma,nominal_packet_size,actual_packet_size,start_offset_s,noise_model
0,1,mMTC,3000,2474.11,0.25,100,186,3.77884,lognormal_rate_jitter_v1
1,2,mMTC,3000,3576.34,0.25,100,73,15.6551,lognormal_rate_jitter_v1
2,3,mMTC,3000,3801.73,0.25,100,64,25.11,lognormal_rate_jitter_v1
3,4,mMTC,3000,3926.44,0.25,100,98,5.88826,lognormal_rate_jitter_v1
4,5,mMTC,3000,3457.23,0.25,100,180,19.6524,lognormal_rate_jitter_v1
5,6,mMTC,3000,4476.73,0.25,100,172,3.46873,lognormal_rate_jitter_v1
6,7,mMTC,3000,2347.13,0.25,100,212,27.4191,lognormal_rate_jitter_v1
7,8,mMTC,3000,3702.06,0.25,100,83,13.8846,lognormal_rate_jitter_v1
8,9,mMTC,3000,3119.4,0.25,100,163,19.2645,lognormal_rate_jitter_v1
9,10,mMTC,3000,2967.67,0.25,100,167,20.9468,lognormal_rate_jitter_v1
10,11,mMTC,3000,2530.14,0.25,100,133,5.21158,lognormal_rate_jitter_v1
11,12,mMTC,3000,1999.25,0.25,100,93,16.1231,lognormal_rate_jitter_v1
12,13,mMTC,3000,4687.41,0.25,100,147,13.1174,lognormal_rate_jitter_v1
13,14,mMTC,3000,2829.54,0.25,100,119,2.13179,lognormal_rate_jitter_v1
14,15,mMTC,3000,1948.9,0.25,100,247,26.8573,lognormal_rate_jitter_v1
15,16,mMTC,3000,3629.25,0.25,100,203,12.2545,lognormal_rate_jitter_v1
16,17,mMTC,3000,4934.03,0.25,100,71,18.8126,lognormal_rate_jitter_v1
17,18,mMTC,3000,2829.7,0.25,100,207,2.63056,lognormal_rate_jitter_v1
18,19,mMTC,3000,3202.27,0.25,100,192,15.9959,lognormal_rate_jitter_v1
19,20,mMTC,3000,2553.73,0.25,100,167,1.66917,lognormal_rate_jitter_v1
20,21,Web,133000,129307,0.4,600,642,9.09456,lognormal_rate_jitter_v1
21,22,Web,133000,150002,0.4,600,711,4.71422,lognormal_rate_jitter_v1
22,23,Web,133000,238154,0.4,600,1459,7.02971,lognormal_rate_jitter_v1
23,24,Web,133000,184792,0.4,600,575,10.6541,lognormal_rate_jitter_v1
24,25,Web,133000,187905,0.4,600,1128,0.483658,lognormal_rate_jitter_v1
25,26,Web,133000,115645,0.4,600,1029,0.385704,lognormal_rate_jitter_v1
26,27,Web,133000,184214,0.4,600,1329,5.17047,lognormal_rate_jitter_v1
27,28,Web,133000,113586,0.4,600,1325,3.40085,lognormal_rate_jitter_v1
28,29,Mobile,166000,220258,0.35,800,514,10.0384,lognormal_rate_jitter_v1
29,30,Mobile,166000,267046,0.35,800,714,1.8183,lognormal_rate_jitter_v1
30,31,Mobile,166000,106247,0.35,800,1208,2.19112,lognormal_rate_jitter_v1
31,32,Mobile,166000,154145,0.35,800,1042,4.63333,lognormal_rate_jitter_v1
32,33,Mobile,166000,239515,0.35,800,753,6.27303,lognormal_rate_jitter_v1
33,34,Mobile,166000,271046,0.35,800,1364,3.83893,lognormal_rate_jitter_v1
34,35,Mobile,166000,365078,0.35,800,1014,9.08342,lognormal_rate_jitter_v1
35,36,Mobile,166000,103365,0.35,800,924,8.92889,lognormal_rate_jitter_v1
36,37,VoD,725000,713507,0.05,1200,1200,3.64389,lognormal_rate_jitter_v1
37,38,VoD,725000,790794,0.05,1200,1200,6.06548,lognormal_rate_jitter_v1
38,39,VoD,725000,674332,0.05,1200,1200,0.255545,lognormal_rate_jitter_v1
39,40,VoD,725000,794986,0.05,1200,1200,7.60505,lognormal_rate_jitter_v1
40,41,VoD,725000,726393,0.05,1200,1200,8.20066,lognormal_rate_jitter_v1
41,42,VoD,725000,711511,0.05,1200,1200,3.41779,lognormal_rate_jitter_v1
42,43,Live,478000,435685,0.1,1200,1200,8.48281,lognormal_rate_jitter_v1
43,44,Live,478000,514711,0.1,1200,1200,6.63404,lognormal_rate_jitter_v1
44,45,Live,478000,430982,0.1,1200,1200,5.81234,lognormal_rate_jitter_v1
45,46,Live,478000,474282,0.1,1200,1200,3.4783,lognormal_rate_jitter_v1
46,47,Live,478000,534292,0.1,1200,1200,2.31465,lognormal_rate_jitter_v1
47,48,Live,478000,597616,0.1,1200,1200,8.50704,lognormal_rate_jitter_v1
48,49,V2X,99000,104276,0.08,300,483,3.3545,lognormal_rate_jitter_v1
49,50,V2X,99000,96906.7,0.08,300,427,0.48244,lognormal_rate_jitter_v1
