ue_id,imsi,class,nominal_rate_bps,actual_rate_bps,rate_sigma,nominal_packet_size,actual_packet_size,start_offset_s,noise_model
0,1,mMTC,3000,2474.11,0.25,100,186,3.77884,lognormal_rate_jitter_v1
1,2,mMTC,3000,3576.34,0.25,100,73,15.6551,lognormal_rate_jitter_v1
2,3,mMTC,3000,3801.73,0.25,100,64,25.11,lognormal_rate_jitter_v1
3,4,mMTC,3000,3926.44,0.25,100,98,5.88826,lognormal_rate_jitter_v1
4,5,Web,133000,166887,0.4,600,1109,9.8262,lognormal_rate_jitter_v1
5,6,Web,133000,252345,0.4,600,1071,1.73436,lognormal_rate_jitter_v1
6,7,Mobile,166000,117731,0.35,800,1198,13.7096,lognormal_rate_jitter_v1
7,8,Mobile,166000,222823,0.35,800,600,6.94228,lognormal_rate_jitter_v1
8,9,VoD,725000,730681,0.05,1200,1200,6.42151,lognormal_rate_jitter_v1
9,10,Live,478000,475933,0.1,1200,1200,6.98227,lognormal_rate_jitter_v1
